Va,Vb,Vc,Ia,Ib,Ic,Fault
-183.7279662,-174.6592445,358.3872108,-0.199493376,-0.038115522,0.237608898,AB
-189.672739,-224.0837369,413.7564759,-0.290952243,0.066273188,0.224679055,AB
-211.2149517,-254.2793395,465.4942913,-0.378240167,0.168516572,0.209723595,AB
-275.506527,-237.6310045,513.1375315,-0.453369602,0.260503242,0.19286636,AB
-359.0814464,-197.1763034,556.2577497,-0.507098108,0.332848957,0.174249151,AB
-424.4462084,-170.0201624,594.4663708,-0.538654413,0.384623705,0.154030707,AB
-466.137816,-161.2803606,627.4181766,-0.552224213,0.419838898,0.132385316,AB
-491.9105798,-162.9030256,654.8136054,-0.551269432,0.441768017,0.109501414,AB
-502.2767295,-174.1248841,676.4016137,-0.538172162,0.452592019,0.085580143,AB
-492.3959418,-199.5865956,691.9825374,-0.516226979,0.455393317,0.060833663,AB
-462.7535127,-238.6569656,701.4104783,-0.488880254,0.453396999,0.035483255,AB
-393.4028118,-311.1921681,704.5949799,-0.462248094,0.452490921,0.009757173,AB
-306.9302094,-394.570607,701.5008164,-0.443105972,0.459217407,-0.016111436,AB
-239.1931245,-452.9563972,692.1495216,-0.430297779,0.472184451,-0.041886672,AB
-194.6223647,-481.9969299,676.6192946,-0.418123842,0.485456106,-0.067332263,AB
-163.7245598,-491.3190283,655.0435881,-0.402073525,0.494287353,-0.092213828,AB
-143.3722892,-484.2377954,627.6100846,-0.379376571,0.495677616,-0.116301045,AB
-136.0065076,-458.5530625,594.5595701,-0.347166845,0.486536743,-0.139369898,AB
-138.7452389,-417.4389636,556.1842025,-0.303011132,0.464216085,-0.161204953,AB
-166.013665,-346.8114388,512.8251038,-0.243087609,0.424689271,-0.181601662,AB
-197.3034472,-267.5648017,464.8682489,-0.163528276,0.363896711,-0.200368435,AB
-199.9768543,-212.7650154,412.7418697,-0.067872357,0.285200901,-0.217328544,AB
-172.0455949,-184.8669967,356.9125916,0.036203049,0.196119008,-0.232322057,AB
-125.8538714,-172.0265623,297.8804337,0.142594249,0.102613209,-0.245207459,AB
-67.87830185,-168.2960269,236.1743287,0.247433945,0.008429067,-0.255863012,AB
1.374245866,-173.7219918,172.3477459,0.347323594,-0.083135611,-0.264187984,AB
76.6631481,-183.6370569,106.9739088,0.439589784,-0.169486049,-0.270103735,AB
167.4962103,-208.1368648,40.64065453,0.520940657,-0.24738601,-0.273554647,AB
255.2615722,-229.2056384,-26.05593377,0.588239655,-0.313730982,-0.274508673,AB
